month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202001,94801,"richmond, ca",4554,4171,-1050,-1,61.646459,56.18119607259744,67.11172270157691,87,0.16778523489932895,12.5,0.041916167664670656,3.5,2,0.33897846784408037,0.4473040324594708,1.4127,519995,-0.04588073394495418,-0.11035547628518516,1.7339,1,67,94801
202001,94603,"oakland, ca",4769,469,-382,1265,89.056456,88.86864028562927,89.24427253793515,51.5,0.3733333333333333,14,-0.05504587155963303,-3,-33.5,0.25199288282214116,1.302758863786916,2.3951,499000,0,0.04175365344467652,1.6639,0,55,94603
202001,94590,"vallejo, ca",2012,949,294,504,83.687891,90.31166319547754,77.06411782207677,49,-0.07547169811320753,-4,-0.020000000000000018,-1,-36,0.5353073971399882,0.6021428337066788,1.7135,427000,-0.028441410693970437,0.07185440853467218,1.4238,0,93,94590
202001,94538,"fremont, ca",299,1322,22,1674,80.381583,82.96265992264208,77.8005058018447,60,0.26315789473684204,12.5,0.10091743119266061,5.5,-25,0.7365466276953616,1.1766033322626606,1.7412,918444,-0.011362755651237899,-0.032198103266596445,3.0625,0,75,94538
202001,94589,"vallejo, ca",4636,785,70,34,85.294555,90.57572151145492,80.01338887235941,48.5,0.06593406593406592,3,0.18292682926829262,7.5,-36.5,0.5789946994648003,0.5344962625525382,1.8389,377500,-0.01948051948051943,-0.07356165845960916,1.2588,0,92,94589
202001,94544,"hayward, ca",242,1013,-663,-477,83.068655,95.15769116334424,70.979619160964,37,0.39622641509433953,10.5,0.07246376811594213,2.5,-48,0.1646253068464063,0.148834049036064,1.5159,707995,0.012216741725641578,-0.011179477080640376,2.3608,0,79,94544
202001,95127,"san jose, ca",1376,101,-89,1102,94.882475,92.64727759595358,97.11767331151442,44.5,0.4833333333333334,14.5,-0.21238938053097345,-12,-40.5,0.6279246842809436,2.218633785579871,3.9722,893500,0.037144515380150844,0.05427728613569327,2.9793,0,22,95127
202001,94559,"napa, ca",4204,3374,1171,-943,66.490628,50.885153228205894,82.09610235049092,92.5,0.10778443113772451,9,0.1858974358974359,14.5,7.5,1.074959610442272,0.5202047372385066,1.9302,923944,0.08827326266195534,0.0819016393442622,3.0808,0,90,94559
202001,95125,"san jose, ca",417,1447,-497,-180,79.382996,84.75156203510859,74.01443022909848,57.5,0.47435897435897445,18.5,0.13861386138613851,7,-27.5,0.5333191455375648,0.4263321720258153,1.6111,1349499.5,0.15341837606837605,-0.00037074074074072705,4.4998,0,20,95125
202001,94595,"walnut creek, ca",4345,644,767,-127,86.791506,96.77551324010712,76.80749776852127,30,-0.53125,-34,-0.368421052631579,-17.5,-55,0.2430425638428919,0.1491591666267198,1.7024,602475,0.03969109970231677,-0.00004149377593365422,2.0089,0,40,94595
