month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
201902,92104,"san diego, ca",356,889,-292,-516,83.654629,95.94464589654407,71.3646118552505,25.5,0.04081632653061229,1,0.3076923076923077,6,-57.5,-0.04944883755627927,-0.33770464646087484,1.5302,639450,-0.01607939683028159,-0.02299465240641707,2.1422,1,4,92104
201903,92104,"san diego, ca",356,1028,-139,-722,80.453492,95.03107874508073,65.87590569715694,23,-0.0980392156862745,-2.5,0.5333333333333334,8,-42,-0.015379873884537654,-0.36004841863496695,1.472,638085.7142857143,-0.002133529930855693,-0.061500640850545185,2.0793,1,4,92104
201904,92104,"san diego, ca",356,1561,-533,-1129,77.895707,91.42804496038327,64.36336834346784,25.5,0.10869565217391308,2.5,0.7,10.5,-33,-0.0845843612617303,-0.31578865903451947,1.3712,662000,0.03747817131598974,0.02003081664098616,2.0845,1,4,92104
201905,92104,"san diego, ca",356,1553,8,-1093,77.991539,93.64355343020048,62.33952547360677,22,-0.13725490196078427,-3.5,0.33333333333333326,5.5,-33.5,-0.08694668880984313,-0.2898821639338157,1.3084,707000,0.0679758308157099,0.1142631993695824,2.1791,1,4,92104
201906,92104,"san diego, ca",356,2080,-527,-1407,73.266657,84.01594383090763,62.51736999926864,35,0.5909090909090908,13,0.6666666666666667,14,-22,-0.09481277911370678,-0.2012474118759745,1.2974,740000,0.04667609618104662,0.1937409259557994,2.2776,1,4,92104
201907,92104,"san diego, ca",356,1528,552,-724,77.116784,86.69763359057825,67.53593504260999,35,0,0,0.6666666666666667,14,-24.5,0.163982228195938,0.020361540318686755,1.4336,629450,-0.14939189189189184,-0.030123266563944484,1.9561,1,4,92104
201908,92104,"san diego, ca",356,1740,-212,-543,74.348507,88.15103692094617,60.545978058825675,36,0.02857142857142847,1,0.24137931034482762,7,-28,-0.0572912862072078,0.06594372999823284,1.3328,649571.4285714285,0.03196668293181104,-0.0006593406593407014,2.0442,1,4,92104
201909,92104,"san diego, ca",356,1370,370,-440,78.551079,90.25165272654225,66.85050586215712,36,0,0,0.19999999999999996,6,-30,0.05791854687998543,0.16467658570855082,1.44,649000,-0.0008797009016933144,-0.09735744089012521,2.061,0,4,92104
201910,92104,"san diego, ca",356,1142,228,-219,80.157771,94.09180759938502,66.22373526612489,29,-0.19444444444444442,-7,-0.016949152542372836,-0.5,-37,-0.06087376259691868,0.12651706088818027,1.4151,649000,0,-0.06886657101865135,2.0704,0,4,92104
201911,92104,"san diego, ca",356,852,290,153,83.308869,92.4773402810906,74.1403985174856,35,0.2068965517241379,6,-0.04109589041095896,-1.5,-34,0.1133628917646965,0.28395372035848654,1.5926,599000,-0.07704160246533132,-0.1737931034482758,1.9329,1,4,92104
201912,92104,"san diego, ca",356,775,77,-379,85.092109,93.8730123429334,76.31120501130509,40,0.1428571428571428,5,0.02564102564102555,1,-39,0.06638368431007491,0.07540611538065933,1.6656,607450,0.014106844741235358,-0.06546153846153846,2.0252,0,4,92104
